Local Authority Code,Region,Second Tier Authority,Local Authority,Calendar Year,Greenhouse gas,CO2_Agriculture,CO2_Commercial,CO2_Domestic,CO2_Industry,CO2_Public Sector,CO2_Transport,CO2_Grand Total
E06000001,North East,Hartlepool,Hartlepool,2020,CO2,2.251930337,24.762401003,129.593025359,296.39731298000004,12.78147151,123.18347638099999,588.96961757
E06000002,North East,Middlesbrough,Middlesbrough,2020,CO2,1.128087568,25.002619277999997,186.44963714000002,57.03780565700001,40.30538534,249.982779706,559.906314689
E06000003,North East,Redcar and Cleveland,Redcar and Cleveland,2020,CO2,5.289547332,50.688876172,201.82260629,1219.02200045,12.17302028,181.970445997,1670.966496521
E06000004,North East,Stockton-on-Tees,Stockton-on-Tees,2020,CO2,11.470849896999999,80.351947747,269.95342881,1734.80855445,40.626593495,294.939858604,2458.4358321629998
E06000005,North East,Darlington,Darlington,2020,CO2,6.885545489,22.465809607,161.74198648,114.399399226,18.202868716,166.10617289399997,489.80178241199997
E06000006,North West,Halton,Halton,2020,CO2,1.214655686,75.91974830299999,158.257791731,166.50928428999998,11.858476021,222.334061642,636.0940176729999
E06000007,North West,Warrington,Warrington,2020,CO2,3.836596267,79.460258928,282.64690686,230.27255603100002,20.454624592,544.621257711,1161.292200389
E06000008,North West,Blackburn with Darwen,Blackburn with Darwen,2020,CO2,2.409238809,38.618090637,199.666814001,203.63913439,28.563235246000005,142.02172768300002,614.918240766
E06000009,North West,Blackpool,Blackpool,2020,CO2,0.331163721,42.926395928,206.35949902,32.952418194,34.324800673999995,127.12090886899999,444.015186406
E06000010,Yorkshire and the Humber,"Kingston upon Hull, City of","Kingston upon Hull, City of",2020,CO2,0.880714326,97.22698986099999,320.931802199,229.176265083,53.046536458,335.767880005,1037.030187932
E06000011,Yorkshire and the Humber,East Riding of Yorkshire,East Riding of Yorkshire,2020,CO2,127.79258094,120.45193975000001,562.9168798999999,815.29911077,55.38332410499999,692.152477966,2373.996313431
E06000012,Yorkshire and the Humber,North East Lincolnshire,North East Lincolnshire,2020,CO2,4.565030549,50.685032127,226.41866800000003,625.1764005,22.70554146,228.766499836,1158.317172472
E06000013,Yorkshire and the Humber,North Lincolnshire,North Lincolnshire,2020,CO2,25.761481828999997,39.798224846,252.21223021,5680.498164199999,11.85204813,413.286185085,6423.408334299999
E06000014,Yorkshire and the Humber,York,York,2020,CO2,8.328630947,69.253733826,275.51969897,84.39853694,29.722165219,267.941161464,735.163927366
E06000015,East Midlands,Derby,Derby,2020,CO2,1.1596166600000002,78.42809631899999,321.580202698,193.6165427,66.75378627,361.181904539,1022.7201491860001
E06000016,East Midlands,Leicester,Leicester,2020,CO2,1.348312849,97.73069181700001,399.28022922499997,286.88176336600003,70.88287965,314.744908222,1170.8687851290001
E06000017,East Midlands,Rutland,Rutland,2020,CO2,11.273636769,13.216077841,64.70708276,701.1949099139999,15.112131092999999,131.177762406,936.6816007829999
E06000018,East Midlands,Nottingham,Nottingham,2020,CO2,0.892742497,107.47230189,360.755736357,85.107672854,145.4463249,344.291718387,1043.966496885
E06000019,West Midlands,"Herefordshire, County of","Herefordshire, County of",2020,CO2,99.94488121,50.063658696999994,276.40068999,172.808720145,18.469042151,323.924129601,941.6111217939999
E06000020,West Midlands,Telford and Wrekin,Telford and Wrekin,2020,CO2,9.886792355,46.206359352,223.96069506999999,193.115460124,34.569768371,277.09241696500004,784.831492237
E06000021,West Midlands,Stoke on Trent,Stoke-on-Trent,2020,CO2,2.492859149,80.145750471,329.78330579399994,413.247034653,55.75523178,298.55723669,1179.981418537
E06000022,South West,Bath and North East Somerset,Bath and North East Somerset,2020,CO2,15.749103308,45.045973468,250.76467673,40.990043281,46.135012715,209.875525296,608.560334798
E06000023,South West,"Bristol, City of","Bristol, City of",2020,CO2,1.900565332,164.515453938,506.20851633300003,108.074978984,124.54688864,454.10392542799997,1363.526836503
E06000024,South West,North Somerset,North Somerset,2020,CO2,19.390440541,53.996964668,277.46215064,146.58278653,22.669571157,446.64083949999997,966.742753036
E06000025,South West,South Gloucestershire,South Gloucestershire,2020,CO2,19.606492446,93.498642694,339.80081727000004,245.24385359,37.437518505,730.289922268,1465.877246773
E06000026,South West,Plymouth,Plymouth,2020,CO2,1.166789246,74.887891676,277.368734721,128.897941404,45.163243466,277.99109833200004,809.054184952
E06000027,South West,Torbay,Torbay,2020,CO2,1.694082515,49.494224333,168.54402577800002,28.199424794,27.128146708000003,127.02847820699999,402.088382335
E06000030,South West,Swindon,Swindon,2020,CO2,7.683032617,93.974321921,270.72313805,125.330558751,28.438057416,361.626547688,887.775656443
E06000031,East of England,Peterborough,Peterborough,2020,CO2,12.440014867,90.194890688,248.72073120000002,86.992778668,43.101102795,373.30169951,854.751217728
E06000032,East of England,Luton,Luton,2020,CO2,0.45986800600000005,55.3100519,243.41932366,75.8214208,28.9364712,191.341005619,595.288141185
E06000033,East of England,Southend-on-Sea,Southend-on-Sea,2020,CO2,0.578470224,31.176238941,256.179808466,41.580596186,27.335341249000003,130.738580443,491.794886336
E06000034,East of England,Thurrock,Thurrock,2020,CO2,21.848048104,76.212049185,204.30674008,179.59799070999998,10.805617622,388.495079042,881.265524743
E06000035,South East,Medway,Medway,2020,CO2,4.362922781,33.05556584,332.99207448,98.422234885,27.122564019,270.871866148,766.827228153
E06000036,South East,Bracknell Forest,Bracknell Forest,2020,CO2,3.3232323040000002,70.82875913,158.26613868500002,15.914581717,24.218270437,127.40591724699999,399.95689952
E06000037,South East,West Berkshire,West Berkshire,2020,CO2,19.980406198,42.423783913,240.78727133,138.475131828,38.171887162,493.264309086,973.102789517
E06000038,South East,Reading,Reading,2020,CO2,0.669723312,81.05814407300001,195.054725058,34.326560703,36.75636846,113.00959015,460.875111756
E06000039,South East,Slough,Slough,2020,CO2,0.5006744639999999,204.944555812,150.478208897,85.80233978,29.600680517,149.474825621,624.858206538
E06000040,South East,Windsor and Maidenhead,Windsor and Maidenhead,2020,CO2,4.585742591,76.623662367,235.88967044999998,31.849053811,24.596923623,292.397573882,665.942626724
E06000041,South East,Wokingham,Wokingham,2020,CO2,4.844130315999999,58.513036519,248.81241974000002,35.713672519,15.801323094,269.140282639,632.824864827
E06000042,South East,Milton Keynes,Milton Keynes,2020,CO2,9.305066386,133.935367062,340.95696569,140.914882256,44.938496033,476.534627481,1146.5854049079999
E06000043,South East,Brighton and Hove,Brighton and Hove,2020,CO2,1.998154443,77.093630356,332.210314841,24.594106884000002,55.68849342,262.936656203,754.521356147
E06000044,South East,Portsmouth,Portsmouth,2020,CO2,0.47699970999999997,87.32520765699999,221.363311031,90.717216767,48.73416898,239.536492508,688.153396653
E06000045,South East,Southampton,Southampton,2020,CO2,0.5001936419999999,66.080318854,246.37429885,71.619559947,63.963217009999994,218.414911476,666.9524997789999
E06000046,South East,Isle of Wight,Isle of Wight,2020,CO2,16.532565548,56.47694308,191.85129358,82.44306467199999,22.776567874999998,102.794881255,472.87531601
E06000047,North East,Durham,County Durham,2020,CO2,48.29096946999999,95.878685029,844.2002157000001,330.180457531,93.94296178100001,768.5647706589999,2181.05806017
E06000049,North West,Cheshire,Cheshire East,2020,CO2,72.844885716,165.411061522,647.90129611,347.22126468,61.40685033100001,981.22548107,2276.010839429
E06000050,North West,Cheshire,Cheshire West and Chester,2020,CO2,51.056202371999994,175.908070868,516.0042426,1831.7261611,68.08275842,757.8441920700001,3475.2241635
E06000051,West Midlands,Shropshire,Shropshire,2020,CO2,165.00685878,86.300515831,465.7103865,178.645399362,56.168123169999994,592.27324371,1544.1045273529999
E06000052,South West,Cornwall,Cornwall,2020,CO2,169.333849728,203.479579649,724.916015,313.89546865,63.432273079999995,853.369337599,2330.716039672
E06000053,South West,Isles of Scilly,Isles of Scilly,2020,CO2,0.22292522599999998,1.222430551,2.2018951920000003,0.23572706999999998,0.130924675,2.476135036,6.490037750000001
E06000054,South West,Wiltshire,Wiltshire,2020,CO2,129.10122987,136.698650963,679.9254421,281.971040365,101.94658980599999,1005.060210821,2335.216099998
E06000055,East of England,Bedfordshire,Bedford,2020,CO2,12.272808868999999,57.444371677,233.65599190999998,67.412913962,31.439964316999998,258.284914026,660.510964761
E06000056,East of England,Bedfordshire,Central Bedfordshire,2020,CO2,22.327456386999998,80.54460199799999,393.31001613000007,149.261142491,30.916950830999998,666.6853455830001,1343.0455134200001
E06000057,North East,Northumberland,Northumberland,2020,CO2,132.51981354600002,57.438231058999996,535.7120120000001,278.866575578,36.108325982000004,526.447824113,1567.0927822780002
E06000058,South West,Dorset,"Bournemouth, Christchurch and Poole",2020,CO2,2.010302774,115.276945348,494.810141895,135.18557345,55.696447632,390.30551299,1199.256979919
E06000059,South West,Dorset,Dorset,2020,CO2,122.653911109,97.20421919,530.71216075,138.2439297,48.563022842,624.241953221,1561.619196812
E07000008,East of England,Cambridgeshire,Cambridge,2020,CO2,2.5093518369999996,77.7668006,153.748885751,23.442114619999998,95.70448059,89.837950213,444.971952615
E07000009,East of England,Cambridgeshire,East Cambridgeshire,2020,CO2,30.860355341,20.991782136,128.38168524999998,51.78912201,9.225264765,220.704760986,461.95297048799995
E07000010,East of England,Cambridgeshire,Fenland,2020,CO2,27.962150178999998,27.571145288999997,142.71964124,200.98531219,7.674755423000001,166.402985826,573.315990147
E07000011,East of England,Cambridgeshire,Huntingdonshire,2020,CO2,30.280593656,37.377242189,249.95766775,117.673690409,30.797553506,617.0158019,1083.10254941
E07000012,East of England,Cambridgeshire,South Cambridgeshire,2020,CO2,23.781526438,74.192997279,236.89273432,126.113565505,16.350125264,479.553198495,956.884147301
E07000026,North West,Cumbria,Allerdale,2020,CO2,52.40480461,21.936824655,164.04993516,194.59716141,7.613129982999999,143.394551121,583.996406939
E07000027,North West,Cumbria,Barrow-in-Furness,2020,CO2,2.204213115,45.289092519,99.94328881,250.328962907,9.210289023,35.179713506,442.15555988
E07000028,North West,Cumbria,Carlisle,2020,CO2,44.307664678,68.723631935,176.48688776,88.906729,19.706066242000002,225.175186531,623.306166146
E07000029,North West,Cumbria,Copeland,2020,CO2,16.901677447999997,11.385930725,110.46523742,14.293205892,12.020196881,64.167694295,229.233942661
E07000030,North West,Cumbria,Eden,2020,CO2,86.441304696,41.04992334,104.78377547,260.09333184999997,4.209150504,354.106892615,850.6843784749999
E07000031,North West,Cumbria,South Lakeland,2020,CO2,45.559931292,49.099732931,190.73222273,106.33409741799998,9.387953389,279.394662244,680.508600004
E07000032,East Midlands,Derbyshire,Amber Valley,2020,CO2,12.874012157,39.78059434,190.52876898,130.7350061,12.794776122,190.17243105699998,576.885588756
