Local Authority Code,Region,Second Tier Authority,Local Authority,Calendar Year,Greenhouse gas,Agriculture,Commercial,Domestic,Industry,Public Sector,Transport,Grand Total,TopSector
E06000001,North East,Hartlepool,Hartlepool,2020,CO2,2.0,25.0,130.0,296.0,13.0,123.0,589.0,Industry
E06000002,North East,Middlesbrough,Middlesbrough,2020,CO2,1.0,25.0,186.0,57.0,40.0,250.0,560.0,Transport
E06000003,North East,Redcar and Cleveland,Redcar and Cleveland,2020,CO2,5.0,51.0,202.0,1219.0,12.0,182.0,1671.0,Industry
E06000004,North East,Stockton-on-Tees,Stockton-on-Tees,2020,CO2,11.0,80.0,270.0,1735.0,41.0,295.0,2432.0,Industry
E06000005,North East,Darlington,Darlington,2020,CO2,7.0,22.0,162.0,114.0,18.0,166.0,490.0,Transport
E06000006,North West,Halton,Halton,2020,CO2,1.0,76.0,158.0,167.0,12.0,222.0,636.0,Transport
E06000007,North West,Warrington,Warrington,2020,CO2,4.0,79.0,283.0,230.0,20.0,545.0,1161.0,Transport
E06000008,North West,Blackburn with Darwen,Blackburn with Darwen,2020,CO2,2.0,39.0,200.0,204.0,29.0,142.0,615.0,Industry
E06000009,North West,Blackpool,Blackpool,2020,CO2,0.0,43.0,206.0,33.0,34.0,127.0,444.0,Domestic
E06000010,Yorkshire and the Humber,"Kingston upon Hull, City of","Kingston upon Hull, City of",2020,CO2,1.0,97.0,321.0,229.0,53.0,336.0,1037.0,Transport
E06000011,Yorkshire and the Humber,East Riding of Yorkshire,East Riding of Yorkshire,2020,CO2,128.0,120.0,563.0,815.0,55.0,692.0,2374.0,Industry
E06000012,Yorkshire and the Humber,North East Lincolnshire,North East Lincolnshire,2020,CO2,5.0,51.0,226.0,625.0,23.0,229.0,1158.0,Industry
E06000013,Yorkshire and the Humber,North Lincolnshire,North Lincolnshire,2020,CO2,26.0,40.0,252.0,5680.0,12.0,413.0,6423.0,Industry
E06000014,Yorkshire and the Humber,York,York,2020,CO2,8.0,69.0,276.0,84.0,30.0,268.0,735.0,Domestic
E06000015,East Midlands,Derby,Derby,2020,CO2,1.0,78.0,322.0,194.0,67.0,361.0,1023.0,Transport
E06000016,East Midlands,Leicester,Leicester,2020,CO2,1.0,98.0,399.0,287.0,71.0,315.0,1171.0,Domestic
E06000017,East Midlands,Rutland,Rutland,2020,CO2,11.0,13.0,65.0,701.0,15.0,131.0,937.0,Industry
E06000018,East Midlands,Nottingham,Nottingham,2020,CO2,1.0,107.0,361.0,85.0,145.0,344.0,1044.0,Domestic
E06000019,West Midlands,"Herefordshire, County of","Herefordshire, County of",2020,CO2,100.0,50.0,276.0,173.0,18.0,324.0,942.0,Transport
E06000020,West Midlands,Telford and Wrekin,Telford and Wrekin,2020,CO2,10.0,46.0,224.0,193.0,35.0,277.0,785.0,Transport
E06000021,West Midlands,Stoke on Trent,Stoke-on-Trent,2020,CO2,2.0,80.0,330.0,413.0,56.0,299.0,1180.0,Industry
E06000022,South West,Bath and North East Somerset,Bath and North East Somerset,2020,CO2,16.0,45.0,251.0,41.0,46.0,210.0,609.0,Domestic
E06000023,South West,"Bristol, City of","Bristol, City of",2020,CO2,2.0,165.0,506.0,108.0,125.0,454.0,1359.0,Domestic
E06000024,South West,North Somerset,North Somerset,2020,CO2,19.0,54.0,277.0,147.0,23.0,447.0,967.0,Transport
E06000025,South West,South Gloucestershire,South Gloucestershire,2020,CO2,20.0,93.0,340.0,245.0,37.0,730.0,1466.0,Transport
E06000026,South West,Plymouth,Plymouth,2020,CO2,1.0,75.0,277.0,129.0,45.0,278.0,805.0,Transport
E06000027,South West,Torbay,Torbay,2020,CO2,2.0,49.0,169.0,28.0,27.0,127.0,402.0,Domestic
E06000030,South West,Swindon,Swindon,2020,CO2,8.0,94.0,271.0,125.0,28.0,362.0,888.0,Transport
E06000031,East of England,Peterborough,Peterborough,2020,CO2,12.0,90.0,249.0,87.0,43.0,373.0,855.0,Transport
E06000032,East of England,Luton,Luton,2020,CO2,0.0,55.0,243.0,76.0,29.0,191.0,595.0,Domestic
E06000033,East of England,Southend-on-Sea,Southend-on-Sea,2020,CO2,1.0,31.0,256.0,42.0,27.0,131.0,488.0,Domestic
E06000034,East of England,Thurrock,Thurrock,2020,CO2,22.0,76.0,204.0,180.0,11.0,388.0,881.0,Transport
E06000035,South East,Medway,Medway,2020,CO2,4.0,33.0,333.0,98.0,27.0,271.0,767.0,Domestic
E06000036,South East,Bracknell Forest,Bracknell Forest,2020,CO2,3.0,71.0,158.0,16.0,24.0,127.0,400.0,Domestic
